word,def
sponge,porous rubber for washing live at once expense,,
massacre,cruel killing of a large number of people,,
abscond,to go away suddenly (to avoid arrest),,
cumbersome,burdensome; heavy and awkward to carry,,
resuscitation,coming back to consciousness,,
torque,twisting force causing rotation,,
appease,make quiet or calm,,
sadistic,Cruel,,
acumen,Keen, quick, accurate insight or judgment
abstruse,difficult to comprehend; obscure,,
woo,try to win,,
writ,written order,,
repulsive,causing a feeling of disgust,,
misanthrope,person who hates mankind,,
fragrant,sweet-smelling,,
equilibrium,state of being balanced,,
premature,doing or happening something before the right time,,
edible,fit to be eaten/not poisonous,,
loll,rest to sit or stand in a lazy way hang (dog's tongue),,
chisel,steel tool for shaping materials,,
lampoon,publicly mock or ridicule,,
enzyme,catalyst,,
euphoria,elation state of pleasant excitement,,
abysmal,extreme bad,,
affable,polite and friendly,,
repel,refuse to accept/cause dislike,,
reiterate,say or do again several times,,
rejuvenation,becoming young in nature or appearance,,
solvent,of the power of forming a solution,,
articulate,speak distinctly; connect by joints,,
